"","Fit","Com","BF","rsq","setting","BFlog"
"H1",7.68669341841126,0.407743231236061,18.8517989498177,"0","N = 400, 1 predictor",2.93660834434398
"2",10.2670618950728,0.56631353301458,18.1296424975393,"0","N = 400, 1 predictor",2.89754830573833
"3",1.183155325758,0.572054449409238,2.06825648673801,"0","N = 400, 1 predictor",0.726705975424593
"4",0.690587312023104,0.385088869563491,1.79331932601923,"0","N = 400, 1 predictor",0.584068274705131
"5",0.104396887232199,0.419250868946455,0.249008159469151,"0","N = 400, 1 predictor",-1.3902696141019
"6",1.6867290918814,0.444992782131155,3.79046393472571,"0","N = 400, 1 predictor",1.33248842182068
"7",6.50823681433001,0.351961627886055,18.4913249021481,"0","N = 400, 1 predictor",2.91730169789673
"8",8.58842590584865,0.452626132958177,18.9746576268548,"0","N = 400, 1 predictor",2.9431042797384
"9",8.45577161363823,0.505996539824768,16.7111253696844,"0","N = 400, 1 predictor",2.81607468741825
"10",7.59069516311788,0.441669984845248,17.18635049601,"0","N = 400, 1 predictor",2.84411549295806
"11",8.45816012105294,0.483953215044988,17.4772268436458,"0","N = 400, 1 predictor",2.86089871025287
"12",6.30900587506126,0.53485832303759,11.7956580337591,"0","N = 400, 1 predictor",2.46773150051578
"13",8.10749794665534,0.506198411781985,16.0164428768441,"0","N = 400, 1 predictor",2.77361587434115
"14",5.56210979721104,0.455262527139153,12.2173679265084,"0","N = 400, 1 predictor",2.50285853991413
"15",5.19433990082914,0.405581982705392,12.8071268506082,"0","N = 400, 1 predictor",2.55000180118197
"16",10.1879680970826,0.545787310982505,18.6665536044482,"0","N = 400, 1 predictor",2.92673334514414
"17",1.76280454696655,0.491475804919803,3.58675753581439,"0","N = 400, 1 predictor",1.27724860100883
"18",5.8150722144371,0.452956424858293,12.8380389267165,"0","N = 400, 1 predictor",2.55241255503303
"19",8.67240286001315,0.544779340101157,15.9191111366353,"0","N = 400, 1 predictor",2.76752034573159
"20",8.32851028987922,0.438450970548867,18.9953058592921,"0","N = 400, 1 predictor",2.94419188860483
"21",4.72163135945724,0.364565342281199,12.951399411454,"0","N = 400, 1 predictor",2.56120384496774
"22",5.16420398216067,0.461592999332139,11.1877866207515,"0","N = 400, 1 predictor",2.41482270300477
"23",5.9358109052723,0.365594779705254,16.2360384632893,"0","N = 400, 1 predictor",2.78723336798649
"24",8.04855753963785,0.503243680048738,15.993360391249,"0","N = 400, 1 predictor",2.77217366056666
"25",7.59688364343861,0.485022205900004,15.66296048104,"0","N = 400, 1 predictor",2.75129872001603
"26",3.23171147525419,0.652764159922777,4.95081022162201,"0","N = 400, 1 predictor",1.59955124432206
"27",9.29432874135013,0.50187851443924,18.5190807614765,"0","N = 400, 1 predictor",2.9188015930767
"28",1.80527583596789,0.444805230219348,4.05857600882446,"0","N = 400, 1 predictor",1.40083217534838
"29",6.61276603504949,0.349651578060418,18.9124444160433,"0","N = 400, 1 predictor",2.93982014010385
"30",3.32688648126487,0.367749888959727,9.04660091312549,"0","N = 400, 1 predictor",2.20238909745046
"31",8.39387228354643,0.500677653558332,16.7650228123642,"0","N = 400, 1 predictor",2.81929474063091
"32",8.048522384315,0.440751865292202,18.2608923934539,"0","N = 400, 1 predictor",2.9047617454652
"33",8.33603514212164,0.560417457046915,14.8746885688534,"0","N = 400, 1 predictor",2.69966101466485
"34",1.05751134676174,0.517059874770835,2.04523962960855,"0","N = 400, 1 predictor",0.715514960922613
"35",7.94678847612132,0.424615355311259,18.715264007106,"0","N = 400, 1 predictor",2.92933944796841
"36",7.73953407746493,0.412904317129809,18.7441345521989,"0","N = 400, 1 predictor",2.9308808795941
"37",5.86236097979247,0.432040800833909,13.5689985030978,"0","N = 400, 1 predictor",2.60778766884601
"38",8.60186545871065,0.50620735341737,16.9927706514733,"0","N = 400, 1 predictor",2.83278799781364
"39",6.36285758369237,0.554072164488162,11.483806607701,"0","N = 400, 1 predictor",2.4409379219656
"40",3.72660224336809,0.53896098681684,6.91441928919158,"0","N = 400, 1 predictor",1.9336089831654
"41",9.58847506565722,0.55975431547659,17.1297921258424,"0","N = 400, 1 predictor",2.84081917716855
"42",7.10982567479826,0.398584207784706,17.8377003803387,"0","N = 400, 1 predictor",2.88131421639585
"43",0.150522648753704,0.451115053885896,0.333667979946813,"0","N = 400, 1 predictor",-1.09760885243824
"44",3.60516973890797,0.441954489427418,8.15733254249484,"0","N = 400, 1 predictor",2.09891722123232
"45",6.73275003762616,0.420683989266332,16.0042935063157,"0","N = 400, 1 predictor",2.77285703038666
"46",8.54488852012219,0.449769223662231,18.9983842170118,"0","N = 400, 1 predictor",2.94435393434033
"47",6.11947626037137,0.442928221190403,13.8159547475318,"0","N = 400, 1 predictor",2.62582406547218
"48",5.74201302489221,0.457784016554595,12.5430613941224,"0","N = 400, 1 predictor",2.52916763572261
"49",5.48641546621187,0.528735103842474,10.3764917939824,"0","N = 400, 1 predictor",2.33954284315215
"50",1.91077496872704,0.397568272505312,4.80615557344684,"0","N = 400, 1 predictor",1.56989750746178
"51",10.0053687241262,0.528224701657555,18.9415010178994,"0","N = 400, 1 predictor",2.94135533582677
"52",5.168561204479,0.406733920193215,12.7074752015365,"0","N = 400, 1 predictor",2.54219041885454
"53",6.1872877371167,0.46087816459399,13.4249964794218,"0","N = 400, 1 predictor",2.59711837815443
"54",6.25716766404014,0.495081020794535,12.6386740780292,"0","N = 400, 1 predictor",2.53676148432635
"55",9.57586551490191,0.526178368390818,18.1988962111598,"0","N = 400, 1 predictor",2.90136094450513
