"","Fit","Com","BF","2.5%","97.5%","rsq","setting"
"1",6.26053087772897,0.470921822199381,13.4011125213548,1.38932791356851,18.9924399590159,"0","N = 400, 1 predictor"
"2",1.12481732546305,0.470921833859527,2.46648871635298,0.000193841747647226,15.6886143165564,"0.02","N = 400, 1 predictor"
"3",2.88561211625221e-05,0.470921708140999,7.27796012990484e-05,2.20590567012873e-21,0.000123665197205185,"0.13","N = 400, 1 predictor"
"4",2.21342876512592e-12,0.470921829086258,7.53566421833532e-12,3.97594732892863e-46,8.79770127718714e-14,"0.26","N = 400, 1 predictor"
"5",24.5796640737921,2.80435372476287,8.91675642361965,0.280115517373952,18.4573807270453,"0","N = 400, 2 predictors"
"6",6.37330661305305,2.8043535521914,2.38824714456953,0.000147725053212615,14.3533627812005,"0.02","N = 400, 2 predictors"
"7",0.0002569683123452,2.80435848123594,0.000106962411979738,9.53031083082753e-21,0.000383054294096255,"0.13","N = 400, 2 predictors"
"8",2.6612358423863e-11,2.80435439672985,1.20915712031204e-11,1.68071460263586e-43,1.87153562524888e-12,"0.26","N = 400, 2 predictors"
"9",15.738883153535,1.20562518488589,13.0936220979334,1.15940713747242,18.9798190809624,"0","N = 3200, 1 predictor"
"10",0.000860856556413893,1.20562548133082,0.000765673875495135,2.79804447676707e-15,0.00397212051335452,"0.02","N = 3200, 1 predictor"
"11",1.67155904168076e-39,1.20562521201469,1.6540031413366e-39,4.07011702354503e-99,4.65600696826344e-45,"0.13","N = 3200, 1 predictor"
"12",9.62135984314155e-98,1.20562543085334,9.94139264866054e-98,2.32877999017674e-231,5.82969032948189e-114,"0.26","N = 3200, 1 predictor"
"13",154.965007675998,16.9116307280022,9.23693073119059,0.293479748852454,18.4704967955774,"0","N = 3200, 2 predictors"
"14",0.0302718784278515,16.9116276815323,0.00183270594184505,1.4049474614073e-17,0.000764307405802813,"0.02","N = 3200, 2 predictors"
"15",1.46916833525016e-35,16.9116152312618,8.87944232313555e-37,4.73988927531133e-104,2.92771502831544e-48,"0.13","N = 3200, 2 predictors"
"16",1.49425308509869e-97,16.9116309692672,1.24549182978627e-98,3.68737392834625e-244,3.6977989115771e-122,"0.26","N = 3200, 2 predictors"
