"","ICC","N = level-1 obs.","N = ICC effective","N = MI (intercept-only)","N = MI (full model)"
"1",0.03,3200,1475,1537,1231
"2",0.19,3200,380,316,1009
"3",0.3,3200,252,178,997
"4",0.03,400,255,249,121
"5",0.19,400,87,64,94
"6",0.3,400,60,35,88
