"","Fit","Com","BF","rsq","setting","BFlog"
"H1",7.86389330911136,0.0802035173567931,98.0492323563326,"0","N = 400, 1 predictor",4.5854697235075
"2",10.2907060327163,0.10892704806353,94.4733765915923,"0","N = 400, 1 predictor",4.54831806561707
"3",1.17044602100768,0.11017915218886,10.6231169668232,"0","N = 400, 1 predictor",2.36303247245205
"4",0.610760515353186,0.0759790403030446,8.03853948295674,"0","N = 400, 1 predictor",2.0842474103407
"5",0.0872460506827774,0.0830023598868558,1.05112735109829,"0","N = 400, 1 predictor",0.0498632559131358
"6",1.53569091625161,0.087789916283427,17.4927939479255,"0","N = 400, 1 predictor",2.86178902172285
"7",6.66427498299479,0.0691832745045871,96.3278340135942,"0","N = 400, 1 predictor",4.56775731145076
"8",8.82024537521678,0.0891921371347246,98.8903916708915,"0","N = 400, 1 predictor",4.59401208194643
"9",8.61995155753892,0.0996992580667626,86.4595356543842,"0","N = 400, 1 predictor",4.45967650858412
"10",7.65637184554661,0.0856775612329156,89.3626258190597,"0","N = 400, 1 predictor",4.4927025390546
"11",8.67649197818801,0.0959491814219795,90.4279937525392,"0","N = 400, 1 predictor",4.50455388486589
"12",6.3430464134171,0.102794748520098,61.7059383357208,"0","N = 400, 1 predictor",4.12238017159158
"13",8.11523984010322,0.0974364077544308,83.2875516157788,"0","N = 400, 1 predictor",4.42229909761866
"14",5.47744445115515,0.0900587415708943,60.8207971332056,"0","N = 400, 1 predictor",4.10793178859552
"15",5.20293373657574,0.0797312262264084,65.2559101725246,"0","N = 400, 1 predictor",4.17831661945762
"16",10.1985284475184,0.10493658119902,97.1875425231943,"0","N = 400, 1 predictor",4.57664253991115
"17",1.65533474012163,0.0971742168840355,17.0347113998052,"0","N = 400, 1 predictor",2.83525310936714
"18",5.86777017192508,0.0893170310280654,65.6959832227439,"0","N = 400, 1 predictor",4.18503778545936
"19",9.00831186952347,0.107586757466345,83.7306754257503,"0","N = 400, 1 predictor",4.42760540289526
"20",8.55653961762474,0.0864362717458901,98.9924651398628,"0","N = 400, 1 predictor",4.59504373753974
"21",4.73330888046772,0.0720436580619669,65.7005627948051,"0","N = 400, 1 predictor",4.18510749158485
"22",5.21216979029671,0.0906827195049146,57.476990310312,"0","N = 400, 1 predictor",4.0513846991982
"23",6.06376504040781,0.0722041707156957,83.9808141316921,"0","N = 400, 1 predictor",4.43058836956119
"24",8.18856631267505,0.0993408712984528,82.4289761670591,"0","N = 400, 1 predictor",4.41193702761303
"25",7.77003333669923,0.0959042077796264,81.0186905933639,"0","N = 400, 1 predictor",4.39467987612042
"26",3.22321354026903,0.125554394601533,25.6718496433233,"0","N = 400, 1 predictor",3.24539504695507
"27",9.62023450431805,0.0997872377654504,96.4074637172579,"0","N = 400, 1 predictor",4.56858362307226
"28",1.68014573883097,0.0874809226956245,19.2058529683867,"0","N = 400, 1 predictor",2.9552150746823
"29",6.80157064903401,0.0690440996133872,98.5105271430787,"0","N = 400, 1 predictor",4.59016341701639
"30",3.29496017641592,0.0724947068727483,45.4510448907621,"0","N = 400, 1 predictor",3.81663581025498
"31",8.40617217408957,0.0966003591599112,87.0200923391401,"0","N = 400, 1 predictor",4.46613903841746
"32",8.31364208611019,0.086983244437484,95.577511966518,"0","N = 400, 1 predictor",4.55993756191057
"33",8.33664851032579,0.107758742122878,77.3640109942953,"0","N = 400, 1 predictor",4.34852169822773
"34",1.05434121361229,0.0993892832358951,10.6081981807824,"0","N = 400, 1 predictor",2.36162711546945
"35",8.03803462277417,0.0824553743571527,97.4834531459125,"0","N = 400, 1 predictor",4.57968265227723
"36",7.97242937526003,0.0816994642715941,97.5823947725928,"0","N = 400, 1 predictor",4.58069709572001
"37",5.9867021780423,0.0854572125476974,70.0549666852386,"0","N = 400, 1 predictor",4.24928017227157
"38",8.62401780129795,0.0973192371269835,88.6157563077196,"0","N = 400, 1 predictor",4.48430967823026
"39",6.37005576178433,0.10651785961308,59.8027014899024,"0","N = 400, 1 predictor",4.09105083535264
"40",3.74565702408823,0.105822486129514,35.3956626902906,"0","N = 400, 1 predictor",3.56658928976004
"41",9.5948369255728,0.107657497923449,89.1237220875716,"0","N = 400, 1 predictor",4.49002554020329
"42",7.22466636481623,0.0785447812977952,91.9814944474107,"0","N = 400, 1 predictor",4.52158740950545
"43",0.13814765416448,0.0874522951177248,1.57969157903187,"0","N = 400, 1 predictor",0.457229624839878
"44",3.57000630277391,0.0878437141198023,40.6404298650794,"0","N = 400, 1 predictor",3.70476338060305
"45",6.86682701902814,0.0829272117692541,82.8054732882514,"0","N = 400, 1 predictor",4.41649416172165
"46",8.77715928522126,0.0886823938763039,98.9729629701226,"0","N = 400, 1 predictor",4.59484671152374
"47",6.12385598056868,0.0870017503148039,70.3877331020393,"0","N = 400, 1 predictor",4.25401900227178
"48",5.68651267974106,0.0901920572844244,63.0489297057324,"0","N = 400, 1 predictor",4.14391108694143
"49",5.49199285107259,0.101640368678148,54.0335786115006,"0","N = 400, 1 predictor",3.98960567944941
"50",1.83273555497461,0.0782719814616704,23.4149630653224,"0","N = 400, 1 predictor",3.15337526524038
"51",10.0318777924557,0.101626146378496,98.7135510884471,"0","N = 400, 1 predictor",4.59222223274419
"52",5.13988007810264,0.0802061629693921,64.0833557898051,"0","N = 400, 1 predictor",4.16018467014367
"53",6.19995349501669,0.0909993708261157,68.1318281514687,"0","N = 400, 1 predictor",4.22144447770707
"54",6.3296489820209,0.0974260344687927,64.9687633960756,"0","N = 400, 1 predictor",4.17390659125087
